PROFESOR;ASIGNATURA;AULA;DIA;HORA
BMQ;FR2;211;1;1
BMQ;FR2;211;1;1
BMQ;FR2;211;1;1
BMQ;FR2;211;1;1
BMQ;FR2;211;1;1
BMQ;FR2;211;1;1
BMQ;FR2;211;1;1
ARM;EFI;5S;1;2
ARM;EFI;5S;1;2
ARM;EFI;5S;1;2
ARM;EFI;5S;1;2
ARM;EFI;5S;1;2
ARM;EFI;5S;1;2
ARM;EFI;5S;1;2
INN;HMC;502;1;3
INN;HMC;502;1;3
INN;HMC;502;1;3
INN;HMC;502;1;3
INN;HMC;502;1;3
INN;HMC;502;1;3
INN;HMC;502;1;3
AGR;LUN;211;1;3
AGR;LUN;211;1;3
AGR;LUN;211;1;3
AGR;LUN;211;1;3
AGR;LUN;211;1;3
AGR;LUN;211;1;3
AGR;LUN;211;1;3
CRR;FART;211;1;5
CRR;FART;211;1;5
CRR;FART;211;1;5
CRR;FART;211;1;5
CRR;FART;211;1;5
CRR;FART;211;1;5
CRR;FART;211;1;5
SRE;CAU;TIC2;1;6
SRE;CAU;TIC2;1;6
SRE;CAU;TIC2;1;6
SRE;CAU;TIC2;1;6
SRE;CAU;TIC2;1;6
SRE;CAU;TIC2;1;6
SRE;CAU;TIC2;1;6
CGA;FIL;211;1;7
CGA;FIL;211;1;7
CGA;FIL;211;1;7
CGA;FIL;211;1;7
CGA;FIL;211;1;7
CGA;FIL;211;1;7
CGA;FIL;211;1;7
MGG;LCL;211;2;1
MGG;LCL;211;2;1
MGG;LCL;211;2;1
MGG;LCL;211;2;1
MGG;LCL;211;2;1
MGG;LCL;211;2;1
MGG;LCL;211;2;1
CRR;FART;211;2;2
CRR;FART;211;2;2
CRR;FART;211;2;2
CRR;FART;211;2;2
CRR;FART;211;2;2
CRR;FART;211;2;2
CRR;FART;211;2;2
INN;HMC;502;2;3
INN;HMC;502;2;3
INN;HMC;502;2;3
INN;HMC;502;2;3
INN;HMC;502;2;3
INN;HMC;502;2;3
INN;HMC;502;2;3
AGR;LUN;211;2;3
AGR;LUN;211;2;3
AGR;LUN;211;2;3
AGR;LUN;211;2;3
AGR;LUN;211;2;3
AGR;LUN;211;2;3
AGR;LUN;211;2;3
CGA;FIL;211;2;5
CGA;FIL;211;2;5
CGA;FIL;211;2;5
CGA;FIL;211;2;5
CGA;FIL;211;2;5
CGA;FIL;211;2;5
CGA;FIL;211;2;5
SBR;ING;211;2;6
SBR;ING;211;2;6
SBR;ING;211;2;6
SBR;ING;211;2;6
SBR;ING;211;2;6
SBR;ING;211;2;6
SBR;ING;211;2;6
SRE;CAU;TIC2;2;7
SRE;CAU;TIC2;2;7
SRE;CAU;TIC2;2;7
SRE;CAU;TIC2;2;7
SRE;CAU;TIC2;2;7
SRE;CAU;TIC2;2;7
SRE;CAU;TIC2;2;7
MGG;LCL;211;3;1
MGG;LCL;211;3;1
MGG;LCL;211;3;1
MGG;LCL;211;3;1
MGG;LCL;211;3;1
MGG;LCL;211;3;1
MGG;LCL;211;3;1
CRR;FART;211;3;2
CRR;FART;211;3;2
CRR;FART;211;3;2
