PROFESOR;ASIGNATURA;AULA;DIA;HORA
PRA;SIINF;103;1;1
PRA;SIINF;103;1;2
MSM;LMSGI;103;1;3
MSM;LMSGI;103;1;4
JFV;PROGR;103;1;5
JFV;PROGR;103;1;6
TGU;FOL;103;2;1
CMP;ENDES;103;2;2
JFV;PROGR;103;2;3
JFV;PROGR;103;2;4
ETS;BADAT;103;2;5
ETS;BADAT;103;2;6
TGU;FOL;103;3;1
CMP;ENDES;103;3;2
ETS;BADAT;103;3;3
ETS;BADAT;103;3;4
JFV;PROGR;103;3;5
JFV;PROGR;103;3;6
PRA;SIINF;103;4;1
PRA;SIINF;103;4;2
JFV;PROGR;103;4;3
JFV;PROGR;103;4;4
MSM;LMSGI;103;4;5
MSM;LMSGI;103;4;6
PRA;SIINF;103;5;1
PRA;SIINF;103;5;2
CMP;ENDES;103;5;3
TGU;FOL;103;5;4
ETS;BADAT;103;5;5
ETS;BADAT;103;5;6
