PROFESOR;ASIGNATURA;AULA;DIA;HORA
CSG;LCL;412;1;1
ILL;ING;412;1;2
PGT;REL;412;1;3
MPN;VE;413;1;3
JCL;FyQ;412;1;5
ARC;MUS;4S;1;6
MSV;GeH;412;1;7
MGR;EF;5S;2;1
CSG;LCL;412;2;2
MSV;GeH;412;2;3
JCL;FyQ;412;2;5
RCG;TEC;412;2;6
JGR;MAT;412;2;7
SRE;EPVA;415;3;1
CSG;LCL;412;3;2
ILL;ING;412;3;3
CSG;TUT;412;3;5
MMR;FR2;414;3;6
MSS;ROBOT;510;3;6
FGA;CSG;412;3;6
JGR;MAT;412;3;7
ILL;ING;412;4;1
ARC;MUS;4S;4;2
CSG;LCL;412;4;3
RCG;TEC;301;4;5
RIG;LIBD1;422;4;6
EOG;LIBD2;413;4;6
RPR;LIBD3;TIC2;4;6
RMM;LIBD4;412;4;6
ETS;LIBD5;TIC3;4;6
JCL;FyQ;412;4;7
MSV;GeH;412;5;1
SRE;EPVA;415;5;2
JGR;MAT;412;5;3
MMR;FR2;414;5;5
MSS;ROBOT;510;5;5
FGA;CSG;412;5;5
RCG;TEC;301;5;6
MGR;EF;P-1;5;7
